EmployeeNumber,Age,DistanceFromHome,EducationField,Education,Gender,JobLevel,JobRole,MaritalStatus,Department
238,37,5,Medical,2,Male,1,Laboratory Technician,Single,Research & Development
239,31,11,Medical,3,Male,2,Laboratory Technician,Divorced,Research & Development
240,46,6,Life Sciences,2,Female,2,Sales Executive,Divorced,Sales
241,57,10,Life Sciences,3,Female,1,Research Scientist,Divorced,Research & Development
242,34,4,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
243,20,4,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
244,47,3,Marketing,2,Female,3,Sales Executive,Divorced,Sales
245,39,11,Life Sciences,2,Female,1,Laboratory Technician,Single,Research & Development
246,32,14,Medical,1,Female,1,Research Scientist,Married,Research & Development
247,35,29,Medical,2,Female,1,Research Scientist,Single,Research & Development
248,42,22,Marketing,2,Female,1,Sales Representative,Single,Sales
249,51,3,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
250,54,15,Medical,2,Female,2,Manufacturing Director,Divorced,Research & Development
252,34,16,Medical,3,Female,1,Research Scientist,Married,Research & Development
253,41,6,Medical,1,Female,5,Manager,Married,Research & Development
254,56,16,Medical,4,Male,5,Research Director,Single,Research & Development
256,35,4,Life Sciences,1,Male,2,Manufacturing Director,Married,Research & Development
258,52,5,Medical,3,Female,4,Healthcare Representative,Single,Research & Development
259,53,3,Life Sciences,4,Male,5,Manager,Married,Research & Development
260,28,11,Medical,3,Female,1,Research Scientist,Single,Research & Development
261,36,25,Life Sciences,2,Male,2,Manufacturing Director,Married,Research & Development
262,44,9,Medical,3,Male,1,Research Scientist,Divorced,Research & Development
264,46,4,Medical,2,Male,4,Manager,Married,Research & Development
267,38,23,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
269,36,4,Medical,3,Female,2,Laboratory Technician,Single,Research & Development
270,43,23,Medical,2,Female,2,Manufacturing Director,Divorced,Research & Development
271,39,4,Life Sciences,4,Male,2,Manufacturing Director,Married,Research & Development
273,39,31,Technical Degree,3,Male,2,Manufacturing Director,Married,Research & Development
274,28,3,Technical Degree,1,Male,2,Manufacturing Director,Married,Research & Development
275,50,20,Life Sciences,4,Male,2,Manufacturing Director,Divorced,Research & Development
277,35,12,Medical,4,Male,1,Research Scientist,Divorced,Research & Development
281,41,21,Medical,2,Male,2,Laboratory Technician,Married,Research & Development
282,39,31,Medical,1,Male,2,Healthcare Representative,Married,Research & Development
283,30,29,Marketing,3,Female,3,Sales Executive,Married,Sales
284,23,7,Life Sciences,3,Male,1,Research Scientist,Divorced,Research & Development
286,37,20,Medical,1,Female,1,Laboratory Technician,Single,Research & Development
287,41,11,Life Sciences,5,Male,2,Healthcare Representative,Married,Research & Development
288,47,3,Medical,4,Male,3,Healthcare Representative,Divorced,Research & Development
291,33,6,Medical,4,Male,3,Sales Executive,Married,Sales
292,31,3,Life Sciences,1,Male,3,Manufacturing Director,Single,Research & Development
293,28,22,Life Sciences,3,Female,2,Sales Executive,Single,Sales
296,52,10,Life Sciences,4,Male,3,Research Director,Married,Research & Development
297,31,5,Technical Degree,3,Female,1,Research Scientist,Single,Research & Development
298,42,8,Life Sciences,3,Female,3,Manager,Single,Sales
299,31,28,Marketing,4,Female,2,Sales Executive,Single,Sales
300,30,3,Technical Degree,3,Male,1,Research Scientist,Single,Research & Development
302,46,8,Medical,3,Female,3,Sales Executive,Single,Sales
303,55,5,Marketing,3,Female,2,Sales Executive,Married,Sales
304,37,7,Life Sciences,2,Male,2,Laboratory Technician,Single,Research & Development
305,34,6,Medical,4,Female,1,Research Scientist,Married,Research & Development
306,38,13,Other,3,Male,3,Research Director,Divorced,Research & Development
307,39,5,Life Sciences,3,Male,3,Sales Executive,Divorced,Sales
308,32,3,Medical,4,Male,2,Manufacturing Director,Married,Research & Development
309,60,5,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
311,38,6,Marketing,4,Male,1,Sales Representative,Divorced,Sales
312,30,3,Medical,1,Female,3,Sales Executive,Married,Sales
314,36,3,Marketing,3,Female,3,Sales Executive,Single,Sales
315,30,20,Medical,1,Male,1,Research Scientist,Single,Research & Development
316,53,4,Life Sciences,3,Female,1,Laboratory Technician,Single,Research & Development
319,43,6,Technical Degree,2,Male,5,Manager,Married,Research & Development
321,60,8,Medical,2,Male,1,Human Resources,Married,Human Resources
323,51,3,Medical,4,Female,5,Manager,Divorced,Sales
325,34,16,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
327,44,18,Marketing,3,Female,4,Manager,Married,Sales
328,34,4,Life Sciences,2,Female,1,Laboratory Technician,Married,Research & Development
329,53,4,Life Sciences,4,Male,5,Manager,Single,Sales
330,33,6,Life Sciences,2,Female,1,Sales Representative,Married,Sales
331,33,3,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
332,40,3,Medical,4,Female,1,Laboratory Technician,Divorced,Research & Development
333,33,28,Marketing,4,Male,2,Sales Executive,Married,Sales
334,42,21,Life Sciences,2,Male,2,Research Scientist,Divorced,Research & Development
335,41,26,Technical Degree,2,Male,2,Research Scientist,Divorced,Research & Development
336,46,3,Other,3,Male,5,Manager,Married,Research & Development
337,32,5,Medical,4,Male,3,Research Director,Divorced,Research & Development
338,34,7,Life Sciences,4,Female,1,Research Scientist,Married,Research & Development
339,35,4,Life Sciences,4,Male,2,Manufacturing Director,Married,Research & Development
340,38,3,Medical,2,Female,1,Research Scientist,Married,Research & Development
341,46,9,Life Sciences,4,Male,2,Manufacturing Director,Married,Research & Development
342,38,12,Medical,3,Male,3,Manufacturing Director,Divorced,Research & Development
343,40,4,Technical Degree,4,Female,3,Healthcare Representative,Single,Research & Development
346,30,17,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
347,43,19,Life Sciences,2,Female,2,Research Scientist,Single,Research & Development
349,30,22,Marketing,2,Male,2,Sales Executive,Divorced,Sales
350,26,3,Life Sciences,3,Female,2,Manufacturing Director,Married,Research & Development
351,43,4,Medical,3,Female,1,Laboratory Technician,Divorced,Research & Development
352,41,4,Medical,2,Male,5,Research Director,Divorced,Research & Development
353,52,3,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
355,32,31,Medical,2,Male,1,Laboratory Technician,Single,Research & Development
359,33,9,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
361,39,4,Life Sciences,2,Male,2,Sales Executive,Married,Sales
362,33,4,Technical Degree,1,Male,2,Laboratory Technician,Single,Research & Development
363,47,4,Technical Degree,3,Female,4,Manager,Married,Sales
364,29,4,Life Sciences,4,Male,1,Laboratory Technician,Single,Research & Development
366,30,4,Medical,3,Male,2,Sales Executive,Married,Sales
367,32,25,Medical,3,Male,2,Healthcare Representative,Married,Research & Development
369,26,7,Life Sciences,2,Male,2,Healthcare Representative,Divorced,Research & Development
372,46,22,Medical,2,Male,4,Healthcare Representative,Married,Research & Development
373,37,8,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
374,56,3,Medical,3,Male,5,Manager,Single,Research & Development
376,48,31,Life Sciences,4,Male,3,Manager,Married,Research & Development
377,29,11,Medical,3,Male,1,Research Scientist,Married,Research & Development
378,38,8,Medical,4,Male,2,Sales Executive,Married,Sales
379,22,5,Medical,2,Male,1,Research Scientist,Single,Research & Development
380,38,3,Medical,4,Female,3,Research Director,Divorced,Research & Development
381,36,24,Life Sciences,3,Female,3,Manager,Divorced,Research & Development
382,39,9,Medical,2,Female,2,Sales Executive,Divorced,Sales
384,27,3,Life Sciences,3,Female,2,Manufacturing Director,Divorced,Research & Development
385,51,6,Life Sciences,1,Male,5,Research Director,Divorced,Research & Development
386,54,5,Medical,4,Male,4,Research Director,Married,Research & Development
387,43,3,Life Sciences,1,Male,2,Sales Executive,Married,Sales
388,30,4,Life Sciences,2,Male,2,Sales Executive,Single,Sales
389,56,22,Technical Degree,2,Male,2,Laboratory Technician,Married,Research & Development
390,27,13,Medical,2,Male,2,Healthcare Representative,Married,Research & Development
391,38,3,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
392,45,26,Life Sciences,3,Male,1,Laboratory Technician,Divorced,Research & Development
393,39,25,Life Sciences,4,Male,2,Healthcare Representative,Divorced,Research & Development
394,27,18,Medical,4,Male,1,Laboratory Technician,Divorced,Research & Development
395,29,10,Life Sciences,2,Female,1,Research Scientist,Single,Research & Development
396,50,12,Life Sciences,4,Female,5,Research Director,Single,Research & Development
397,37,5,Technical Degree,3,Male,2,Research Scientist,Single,Research & Development
399,32,7,Marketing,3,Female,1,Sales Representative,Divorced,Sales
401,27,6,Marketing,4,Male,2,Sales Executive,Single,Sales
403,38,11,Medical,3,Male,1,Research Scientist,Married,Research & Development
404,43,28,Marketing,3,Female,4,Sales Executive,Married,Sales
405,19,5,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
406,36,18,Marketing,3,Male,3,Sales Executive,Married,Sales
407,37,20,Life Sciences,4,Male,1,Laboratory Technician,Married,Research & Development
408,52,4,Medical,3,Male,2,Manufacturing Director,Divorced,Research & Development
410,42,4,Life Sciences,4,Male,4,Manager,Single,Sales
411,19,12,Medical,3,Female,1,Sales Representative,Single,Sales
412,29,18,Medical,2,Male,2,Healthcare Representative,Single,Research & Development
416,32,9,Technical Degree,3,Male,2,Sales Executive,Married,Sales
417,40,3,Medical,3,Male,3,Healthcare Representative,Divorced,Research & Development
419,37,26,Life Sciences,4,Female,2,Laboratory Technician,Married,Research & Development
420,33,9,Life Sciences,3,Male,2,Sales Executive,Married,Sales
421,39,27,Life Sciences,2,Female,3,Research Director,Married,Research & Development
422,59,3,Life Sciences,4,Male,2,Healthcare Representative,Divorced,Research & Development
423,32,7,Technical Degree,4,Male,1,Research Scientist,Married,Research & Development
424,32,4,Human Resources,3,Male,2,Human Resources,Married,Human Resources
425,46,9,Life Sciences,3,Male,3,Laboratory Technician,Divorced,Research & Development
426,32,4,Life Sciences,4,Male,1,Research Scientist,Divorced,Research & Development
428,34,7,Life Sciences,4,Female,3,Manager,Married,Research & Development
429,40,12,Medical,1,Male,4,Manager,Married,Research & Development
430,44,12,Life Sciences,4,Female,1,Laboratory Technician,Single,Research & Development
431,50,3,Technical Degree,2,Female,4,Healthcare Representative,Single,Research & Development
433,53,10,Medical,4,Male,2,Research Scientist,Married,Research & Development
434,28,7,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
436,33,10,Technical Degree,2,Female,2,Sales Executive,Married,Sales
437,28,4,Life Sciences,3,Male,2,Sales Executive,Single,Sales
438,32,9,Marketing,3,Male,2,Sales Executive,Divorced,Sales
439,33,4,Medical,4,Female,2,Research Scientist,Single,Research & Development
440,29,4,Medical,4,Male,1,Research Scientist,Married,Research & Development
441,31,30,Medical,2,Female,2,Research Scientist,Married,Research & Development
442,32,9,Life Sciences,2,Female,3,Manufacturing Director,Married,Research & Development
444,40,9,Medical,2,Male,5,Manager,Married,Research & Development
445,40,5,Medical,2,Female,2,Sales Executive,Married,Sales
446,34,12,Marketing,3,Male,2,Sales Executive,Single,Sales
447,48,7,Life Sciences,5,Male,5,Research Director,Married,Research & Development
448,44,12,Life Sciences,4,Female,2,Laboratory Technician,Divorced,Research & Development
449,28,3,Marketing,1,Male,2,Sales Executive,Married,Sales
450,55,22,Life Sciences,4,Female,2,Research Scientist,Single,Research & Development
451,44,9,Life Sciences,3,Female,3,Healthcare Representative,Married,Research & Development
452,46,10,Other,4,Male,2,Research Scientist,Married,Research & Development
453,41,3,Medical,2,Male,2,Sales Executive,Married,Sales
454,30,10,Other,4,Male,1,Laboratory Technician,Married,Research & Development
455,30,11,Other,5,Male,1,Laboratory Technician,Single,Research & Development
456,31,7,Marketing,3,Female,2,Sales Executive,Divorced,Sales
458,28,10,Marketing,4,Female,2,Sales Executive,Married,Sales
460,38,7,Medical,2,Male,2,Manufacturing Director,Divorced,Research & Development
461,39,17,Life Sciences,2,Male,3,Research Director,Divorced,Research & Development
462,32,9,Medical,4,Female,3,Manufacturing Director,Single,Research & Development
463,30,12,Marketing,1,Female,2,Sales Executive,Divorced,Sales
464,36,7,Technical Degree,4,Male,3,Manufacturing Director,Single,Research & Development
465,24,28,Life Sciences,1,Male,1,Research Scientist,Divorced,Research & Development
466,42,8,Medical,3,Male,2,Manufacturing Director,Single,Research & Development
467,48,6,Medical,1,Male,2,Sales Representative,Single,Sales
468,43,25,Life Sciences,5,Female,4,Research Director,Single,Research & Development
469,30,4,Life Sciences,3,Male,2,Sales Executive,Married,Sales
470,43,4,Technical Degree,1,Male,1,Human Resources,Divorced,Human Resources
471,33,4,Medical,3,Female,1,Laboratory Technician,Married,Research & Development
473,49,31,Medical,1,Female,3,Manager,Married,Sales
474,38,8,Medical,3,Male,2,Research Scientist,Divorced,Research & Development
475,31,27,Technical Degree,2,Female,2,Sales Executive,Married,Sales
476,27,3,Life Sciences,3,Male,2,Sales Executive,Married,Sales
477,43,4,Other,4,Male,2,Healthcare Representative,Single,Research & Development
478,22,3,Technical Degree,1,Female,1,Sales Representative,Single,Sales
479,37,3,Medical,5,Female,2,Sales Executive,Single,Sales
481,37,5,Medical,4,Male,3,Sales Executive,Married,Sales
482,58,3,Medical,4,Male,2,Healthcare Representative,Married,Research & Development
483,41,12,Life Sciences,4,Female,1,Laboratory Technician,Married,Research & Development
484,22,11,Medical,2,Male,1,Sales Representative,Single,Sales
485,34,7,Marketing,3,Female,1,Sales Representative,Single,Sales
486,38,12,Medical,3,Female,1,Laboratory Technician,Married,Research & Development
487,47,9,Medical,4,Female,2,Manufacturing Director,Married,Research & Development
488,42,6,Marketing,3,Male,2,Sales Executive,Single,Sales
491,51,12,Technical Degree,3,Male,3,Healthcare Representative,Single,Research & Development
492,41,24,Marketing,2,Male,2,Sales Executive,Married,Sales
493,32,11,Life Sciences,4,Male,1,Research Scientist,Single,Research & Development
494,22,14,Life Sciences,3,Female,1,Sales Representative,Single,Sales
495,30,25,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
496,36,11,Life Sciences,4,Male,2,Healthcare Representative,Single,Research & Development
497,28,3,Medical,2,Male,1,Laboratory Technician,Divorced,Research & Development
498,29,11,Life Sciences,4,Male,2,Sales Executive,Single,Sales
499,50,9,Other,3,Male,3,Healthcare Representative,Single,Research & Development
500,52,16,Life Sciences,2,Female,2,Sales Executive,Married,Sales
501,37,4,Life Sciences,3,Female,1,Research Scientist,Married,Research & Development
502,35,21,Marketing,3,Male,2,Sales Executive,Single,Sales
505,56,4,Life Sciences,3,Female,4,Manager,Single,Research & Development
507,25,12,Marketing,4,Female,2,Sales Executive,Divorced,Sales
508,31,4,Technical Degree,1,Male,1,Sales Representative,Married,Sales
510,27,5,Technical Degree,1,Male,1,Research Scientist,Single,Research & Development
511,23,13,Medical,3,Female,1,Research Scientist,Married,Research & Development
513,37,4,Medical,2,Male,3,Sales Executive,Married,Sales
514,31,6,Technical Degree,3,Male,1,Research Scientist,Single,Research & Development
515,38,16,Life Sciences,3,Female,1,Laboratory Technician,Divorced,Research & Development
516,41,4,Marketing,2,Female,2,Sales Executive,Divorced,Sales
517,43,3,Life Sciences,4,Female,1,Laboratory Technician,Divorced,Research & Development
518,38,12,Life Sciences,4,Male,2,Manufacturing Director,Single,Research & Development
520,44,14,Life Sciences,3,Male,4,Research Director,Divorced,Research & Development
521,41,4,Medical,3,Female,2,Laboratory Technician,Married,Research & Development
522,55,7,Medical,2,Male,5,Research Director,Married,Research & Development
523,35,6,Marketing,4,Female,2,Sales Executive,Married,Sales
524,32,9,Medical,2,Female,2,Manufacturing Director,Married,Research & Development
525,44,23,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
526,44,10,Other,4,Female,2,Healthcare Representative,Divorced,Research & Development
527,26,6,Life Sciences,2,Female,2,Sales Executive,Single,Sales
